Title,Status,Pillar,Platform,Format,Content Type,Hook,CTA,Visual Notes,Publish Date
"Bill 44 Changed Everything — Here's What Most Homeowners Still Don't Know",Idea,BC Zoning & Bylaws,LinkedIn,Text Post,Original,"Most BC homeowners are sitting on a goldmine and don't even know it.","Have a lot you think could support 4-6 units? Let's talk → link in bio",Infographic showing before/after zoning map,
"BC Zoning Thread: What Bill 44 Actually Means for Your Property",Idea,BC Zoning & Bylaws,"Twitter/X",Thread,Repurposed,"🧵 BC just changed the rules for housing. Here's what Bill 44 means for every single-family lot in Metro Vancouver:","Follow @FortPropertyDev for weekly zoning breakdowns",,
"Bill 44 Explained in 60 Seconds",Idea,BC Zoning & Bylaws,TikTok,Reel/Video,Repurposed,"Did you know your single-family lot can now hold up to 6 units?","Follow for more zoning explainers",Dennis talking to camera with text overlay,
"Bill 44 Visual Breakdown",Idea,BC Zoning & Bylaws,Instagram,Carousel,Repurposed,"Swipe to see how BC zoning just changed forever →","Save this for later — share with a homeowner who needs to see it",5-slide carousel: old rules vs new rules,
"Why We're Betting Everything on Multiplex Infill",Idea,Multiplex Development,LinkedIn,Text Post,Original,"Everyone told us to build condos. We said no.","What would you build on a 6000 sq ft lot? Drop your answer below.",,
"The Multiplex Math That Makes Sense",Idea,Multiplex Development,"Twitter/X",Thread,Original,"A single-family lot in Burnaby: $1.2M. The same lot as a 4-plex: $3.2M in total unit value. Here's the math:","RT if you think Metro Van needs more of this",,
"Inside Our First Site Selection Process",Idea,Behind the Build,Instagram,Reel/Video,Original,"What does day 1 of a real estate development look like?","Follow our journey — we're documenting every step",BTS footage of site visits,
"How We Pick Which Neighborhoods to Build In",Idea,Behind the Build,LinkedIn,Text Post,Original,"We evaluated 47 lots before choosing our first project. Here's our scoring system:","Want us to evaluate your lot? Link in comments",,
"Metro Vancouver Land Values — March 2026 Update",Idea,Market Intel,LinkedIn,Text Post,Original,"Land values in Surrey shifted 12% this quarter. Here's what's driving it:","Follow for weekly Metro Van market updates",,
"Fraser Valley Infill Opportunity Map",Idea,Market Intel,Instagram,Carousel,Original,"These 5 Fraser Valley neighborhoods have the best infill economics right now →","DM us 'MAP' for the full analysis",Map graphic with highlighted zones,
"Metro Van Market Thread — What Changed This Week",Idea,Market Intel,"Twitter/X",Thread,Original,"📊 Metro Vancouver real estate this week — 3 things you need to know:","Follow for weekly market drops",,
"CMHC Just Released New Housing Data — Here's What Matters",Idea,Curated News,LinkedIn,Curated Share,Curated,"CMHC's latest report confirms what we've been saying about housing starts:","What's your take? Agree or disagree?","Screenshot of key CMHC chart",
"Council Watch: Burnaby's New Density Policy",Idea,Curated News,"Twitter/X",Text Post,Curated,"Burnaby council just voted to increase density allowances near transit. This is huge for infill developers.","Thoughts? Is this the right move?",,
"The Biggest Mistake New Developers Make (I Almost Made It)",Idea,Behind the Build,TikTok,Reel/Video,Original,"I almost bought a lot without checking the OCP designation. Here's why that matters:","Follow to avoid my mistakes",Talking head with lot photo overlay,
"Setback Rules Explained — Why Your 'Buildable' Lot Might Not Be",Idea,BC Zoning & Bylaws,Instagram,Carousel,Original,"Your lot is 6000 sq ft but you can only build on 3200 of it. Here's why →","Save this before you buy your next lot",Diagram showing setback requirements,
"What's FAR and Why Does It Determine Your Profit?",Idea,BC Zoning & Bylaws,LinkedIn,Text Post,Original,"FAR (Floor Area Ratio) is the single most important number in development. Most people have never heard of it.","Want us to calculate the FAR potential of your lot? Drop the address below.",,
"Surrey vs Burnaby: Where's the Better Infill Play?",Idea,Market Intel,"Twitter/X",Thread,Original,"We analyzed 200+ lots in Surrey and Burnaby. The numbers tell a clear story:","Which city would you bet on? Reply below",,
"North Vancouver Zoning Deep Dive",Idea,BC Zoning & Bylaws,Facebook,Text Post,Original,"North Van has some of the most complex zoning bylaws in Metro Vancouver. Here's our simplified guide:","Share with a North Van homeowner who should see this",,
"Why We Document Everything Publicly",Idea,Behind the Build,LinkedIn,Text Post,Original,"Most developers hide their process. We're sharing ours — wins and losses.","What would you want us to show behind the scenes? Comment below.",,
"5 Properties We Passed On (And Why)",Idea,Behind the Build,Instagram,Carousel,Original,"Not every lot is worth developing. Here are 5 we walked away from →","DM us 'CHECKLIST' for our lot evaluation template",5 slides: each lot photo + reason for passing,
"Multiplex vs Laneway — Which Is the Better Investment?",Idea,Multiplex Development,"Twitter/X",Thread,Original,"Everyone's talking about laneway homes. But here's why we think multiplexes are the better play:","Agree or disagree? Quote tweet with your take",,
"New BC Housing Policy This Week",Idea,Curated News,Facebook,Curated Share,Curated,"Big housing policy update from Victoria this week. Here's what it means for Metro Van homeowners:","What do you think — will this actually help affordability?",,
"The 3 Numbers That Make or Break a Multiplex Project",Idea,Multiplex Development,TikTok,Reel/Video,Original,"Before you develop anything, you need to know these 3 numbers:","Follow for more development math",Text overlay with the 3 numbers revealed,
"Coquitlam Density Update — What Changed",Idea,Market Intel,Facebook,Text Post,Original,"Coquitlam just updated their OCP to allow more density in 3 key corridors. Here's what it means:","Tag a Coquitlam homeowner who should know about this",,
"Why 4-6 Units Is the Sweet Spot",Idea,Multiplex Development,LinkedIn,Text Post,Original,"Too small and the economics don't work. Too big and you're fighting city hall for years. 4-6 units is the Goldilocks zone.","What's the biggest unit count you'd develop without a rezoning? Curious to hear.",,
